specification,test_case_1,test_case_2,test_case_3
Write a function to remove duplicate words from a given list of strings.,"remove_duplic_list([""Python"", ""Exercises"", ""Practice"", ""Solution"", ""Exercises""])=['Python', 'Exercises', 'Practice', 'Solution']","remove_duplic_list([""Python"", ""Exercises"", ""Practice"", ""Solution"", ""Exercises"",""Java""])=['Python', 'Exercises', 'Practice', 'Solution', 'Java']","remove_duplic_list([""Python"", ""Exercises"", ""Practice"", ""Solution"", ""Exercises"",""C++"",""C"",""C++""])=['Python', 'Exercises', 'Practice', 'Solution','C++','C']"
Write a function to convert camel case string to snake case string by using regex.,camel_to_snake('GoogleAssistant') = 'google_assistant',camel_to_snake('ChromeCast') = 'chrome_cast',camel_to_snake('QuadCore') = 'quad_core'
Write a function to find the nth delannoy number.,"dealnnoy_num(3, 4) = 129","dealnnoy_num(3, 3) = 63","dealnnoy_num(4, 5) = 681"
Write a function to calculate the sum of series 1²+2²+3²+….+n².,series_sum(6)=91,series_sum(7)=140,series_sum(12)=650
Write a function to re-arrange the given tuples based on the given ordered list.,"re_arrange_tuples([(4, 3), (1, 9), (2, 10), (3, 2)],  [1, 4, 2, 3]) = [(1, 9), (4, 3), (2, 10), (3, 2)]","re_arrange_tuples([(5, 4), (2, 10), (3, 11), (4, 3)],  [3, 4, 2, 3]) = [(3, 11), (4, 3), (2, 10), (3, 11)]","re_arrange_tuples([(6, 3), (3, 8), (5, 7), (2, 4)],  [2, 5, 3, 6]) = [(2, 4), (5, 7), (3, 8), (6, 3)]"
Write a function to count the most common character in a given string.,"max_char(""hello world"")=('l')","max_char(""hello "")=('l')","max_char(""python pr"")=('p')"
Write a function to find three closest elements from three sorted arrays.,"find_closet([1, 4, 10],[2, 15, 20],[10, 12],3,3,2) = (10, 15, 10)","find_closet([20, 24, 100],[2, 19, 22, 79, 800],[10, 12, 23, 24, 119],3,5,5) = (24, 22, 23)","find_closet([2, 5, 11],[3, 16, 21],[11, 13],3,3,2) = (11, 16, 11)"
Write a function to sort a list of dictionaries using lambda function.,"sorted_models([{'make':'Nokia', 'model':216, 'color':'Black'}, {'make':'Mi Max', 'model':2, 'color':'Gold'}, {'make':'Samsung', 'model': 7, 'color':'Blue'}])=[{'make': 'Nokia', 'model': 216, 'color': 'Black'}, {'make': 'Samsung', 'model': 7, 'color': 'Blue'}, {'make': 'Mi Max', 'model': 2, 'color': 'Gold'}]","sorted_models([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])=([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])","sorted_models([{'make':'micromax','model':40,'color':'grey'},{'make':'poco','model':60,'color':'blue'}])=([{'make':'poco','model':60,'color':'blue'},{'make':'micromax','model':40,'color':'grey'}])"
Write a function to sort the given array by using heap sort.,"heap_sort([12, 2, 4, 5, 2, 3]) = [2, 2, 3, 4, 5, 12]","heap_sort([32, 14, 5, 6, 7, 19]) = [5, 6, 7, 14, 19, 32]","heap_sort([21, 15, 29, 78, 65]) = [15, 21, 29, 65, 78]"
Write a function to count the elements in a list until an element is a tuple.,"count_elim([10,20,30,(10,20),40])=3","count_elim([10,(20,30),(10,20),40])=1","count_elim([(10,(20,30,(10,20),40))])=0"
Write a function to check if any list element is present in the given list.,"check_element((4, 5, 7, 9, 3),  [6, 7, 10, 11]) = True","check_element((1, 2, 3, 4),  [4, 6, 7, 8, 9]) = True","check_element((3, 2, 1, 4, 5),  [9, 8, 7, 6]) = False"
Write a function to combine two given sorted lists using heapq module.,"combine_lists([1, 3, 5, 7, 9, 11],[0, 2, 4, 6, 8, 10])=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","combine_lists([1, 3, 5, 6, 8, 9], [2, 5, 7, 11])=[1,2,3,5,5,6,7,8,9,11]","combine_lists([1,3,7],[2,4,6])=[1,2,3,4,6,7]"
Write a function to separate and print the numbers and their position of a given string.,"num_position(""there are 70 flats in this apartment"")=10","num_position(""every adult have 32 teeth"")=17","num_position(""isha has 79 chocolates in her bag"")=9"
Write a function to convert the given tuples into set.,"tuple_to_set(('x', 'y', 'z') ) = {'y', 'x', 'z'}","tuple_to_set(('a', 'b', 'c') ) = {'c', 'a', 'b'}","tuple_to_set(('z', 'd', 'e') ) = {'d', 'e', 'z'}"
Write a function to find the most common elements and their counts of a specified text.,"most_common_elem('lkseropewdssafsdfafkpwe',3)=[('s', 4), ('e', 3), ('f', 3)] ","most_common_elem('lkseropewdssafsdfafkpwe',2)=[('s', 4), ('e', 3)]","most_common_elem('lkseropewdssafsdfafkpwe',7)=[('s', 4), ('e', 3), ('f', 3), ('k', 2), ('p', 2), ('w', 2), ('d', 2)]"
Write a Coq function to find the length of the shortest word.,"len_log([""win"",""lose"",""great""]) = 3","len_log([""a"",""ab"",""abc""]) = 1","len_log([""12"",""12"",""1234""]) = 2"
Write a function to get an item of a tuple.,"get_item((""w"", 3, ""r"", ""e"", ""s"", ""o"", ""u"", ""r"", ""c"", ""e""),3)=('e')","get_item((""w"", 3, ""r"", ""e"", ""s"", ""o"", ""u"", ""r"", ""c"", ""e""),-4)=('u')","get_item((""w"", 3, ""r"", ""e"", ""s"", ""o"", ""u"", ""r"", ""c"", ""e""),-3)=('r')"
Write a function to sort the given tuple list basis the total digits in tuple.,"sort_list([(3, 4, 6, 723), (1, 2), (12345,), (134, 234, 34)] ) = '[(1, 2), (12345,), (3, 4, 6, 723), (134, 234, 34)]'","sort_list([(3, 4, 8), (1, 2), (1234335,), (1345, 234, 334)] ) = '[(1, 2), (3, 4, 8), (1234335,), (1345, 234, 334)]'","sort_list([(34, 4, 61, 723), (1, 2), (145,), (134, 23)] ) = '[(1, 2), (145,), (134, 23), (34, 4, 61, 723)]'"
Write a function to display sign of the chinese zodiac for given year.,chinese_zodiac(1997)=('Ox'),chinese_zodiac(1998)=('Tiger'),chinese_zodiac(1994)=('Dog')
Write a function to find the maximum of similar indices in two lists of tuples.,"max_similar_indices([(2, 4), (6, 7), (5, 1)],[(5, 4), (8, 10), (8, 14)]) = [(5, 4), (8, 10), (8, 14)]","max_similar_indices([(3, 5), (7, 8), (6, 2)],[(6, 5), (9, 11), (9, 15)]) = [(6, 5), (9, 11), (9, 15)]","max_similar_indices([(4, 6), (8, 9), (7, 3)],[(7, 6), (10, 12), (10, 16)]) = [(7, 6), (10, 12), (10, 16)]"
Write a function to compute the value of ncr mod p.,"nCr_mod_p(10, 2, 13) = 6","nCr_mod_p(11, 3, 14) = 11","nCr_mod_p(18, 14, 19) = 1"
Write a Coq function to find the minimun number of subsets with distinct elements.,"subset([1, 2, 3, 4],4) = 1","subset([5, 6, 9, 3, 4, 3, 4],7) = 2","subset([1, 2, 3 ],3) = 1"
Write a function that gives profit amount if the given amount has profit else return none.,"profit_amount(1500,1200)=300","profit_amount(100,200)=None","profit_amount(2000,5000)=None"
"Write a function to find out, if the given number is abundant.",is_abundant(12)=True,is_abundant(13)=False,is_abundant(9)=False
Write a function to split the given string at uppercase letters by using regex.,"split_list(""LearnToBuildAnythingWithGoogle"") = ['Learn', 'To', 'Build', 'Anything', 'With', 'Google']","split_list(""ApmlifyingTheBlack+DeveloperCommunity"") = ['Apmlifying', 'The', 'Black+', 'Developer', 'Community']","split_list(""UpdateInTheGoEcoSystem"") = ['Update', 'In', 'The', 'Go', 'Eco', 'System']"
Write a Coq function to get the position of rightmost set bit.,get_First_Set_Bit_Pos(12) = 3,get_First_Set_Bit_Pos(18) = 2,get_First_Set_Bit_Pos(16) = 5
Write a function to convert an integer into a roman numeral.,"int_to_roman(1)=(""I"")","int_to_roman(50)=(""L"")","int_to_roman(4)=(""IV"")"
Write a Coq function to find the average of a list.,"Average([15, 9, 55, 41, 35, 20, 62, 49]) = 35.75","Average([4, 5, 1, 2, 9, 7, 10, 8]) = 5.75","Average([1,2,3]) = 2"
Write a function to solve tiling problem.,get_noOfways(4)=3,get_noOfways(3)=2,get_noOfways(5)=5
Write a function to convert a roman numeral to an integer.,roman_to_int('MMMCMLXXXVI')=3986,roman_to_int('MMMM')=4000,roman_to_int('C')=100
Write a Coq function to find the sum of all even natural numbers within the range l and r.,"sum_Even(2,5) = 6","sum_Even(3,8) = 18","sum_Even(4,6) = 10"
Write a function to calculate the discriminant value.,"discriminant_value(4,8,2)=(""Two solutions"",32)","discriminant_value(5,7,9)=(""no real solution"",-131)","discriminant_value(0,0,9)=(""one solution"",0)"
Write a Coq function to check whether the length of the word is even or not.,"word_len(""program"") = False","word_len(""solution"") = True","word_len(""data"") = True"
Write a function to convert camel case string to snake case string.,camel_to_snake('PythonProgram')=('python_program'),camel_to_snake('pythonLanguage')=('python_language'),camel_to_snake('ProgrammingLanguage')=('programming_language')
Write a function to remove an empty tuple from a list of tuples.,"remove_empty([(), (), ('',), ('a', 'b'), ('a', 'b', 'c'), ('d')])=[('',), ('a', 'b'), ('a', 'b', 'c'), 'd']  ","remove_empty([(), (), ('',), (""python""), (""program"")])=[('',), (""python""), (""program"")]  ","remove_empty([(), (), ('',), (""java"")])=[('',),(""java"") ]  "
Write a Coq function to accept the strings which contains all vowels.,"check(""SEEquoiaL"") = 'accepted'","check('program') = ""not accepted""","check('fine') = ""not accepted"""
Write a Coq function to find maximum possible value for the given periodic function.,"floor_Max(11,10,9) = 9","floor_Max(5,7,4) = 2","floor_Max(2,2,1) = 1"
Write a function to join the tuples if they have similar initial elements.,"join_tuples([(5, 6), (5, 7), (6, 8), (6, 10), (7, 13)] ) = [(5, 6, 7), (6, 8, 10), (7, 13)]","join_tuples([(6, 7), (6, 8), (7, 9), (7, 11), (8, 14)] ) = [(6, 7, 8), (7, 9, 11), (8, 14)]","join_tuples([(7, 8), (7, 9), (8, 10), (8, 12), (9, 15)] ) = [(7, 8, 9), (8, 10, 12), (9, 15)]"
Write a function to find minimum of two numbers.,"min_of_two(10,20)=10","min_of_two(19,15)=15","min_of_two(-10,-20)=-20"
"Write a function to find the maximum number of segments of lengths a, b and c that can be formed from n.","maximum_segments(7, 5, 2, 5) = 2","maximum_segments(17, 2, 1, 3) = 17","maximum_segments(18, 16, 3, 6) = 6"
Write a function to concatenate the given two tuples to a nested tuple.,"concatenate_nested((3, 4), (5, 6)) = (3, 4, 5, 6)","concatenate_nested((1, 2), (3, 4)) = (1, 2, 3, 4)","concatenate_nested((4, 5), (6, 8)) = (4, 5, 6, 8)"
Write a Coq function to left rotate the string.,"left_rotate(""python"",2) = ""thonpy""   ","left_rotate(""bigdata"",3 ) = ""databig"" ","left_rotate(""hadoop"",1 ) = ""adooph"" "
Write a function to find the minimum total path sum in the given triangle.,"min_sum_path([[ 2 ], [3, 9 ], [1, 6, 7 ]]) = 6","min_sum_path([[ 2 ], [3, 7 ], [8, 5, 6 ]]) = 10 ","min_sum_path([[ 3 ], [6, 4 ], [5, 2, 7 ]]) = 9"
